patchsize,fasttresh,scalefactor,n_levels,track_error,total_matches,good_matches,blur,flow
6,20,1.1,16,0,2000,449,511.2512683120462,3.480982
6,20,1.1,16,0,2000,476,528.2664023682862,3.110009
6,20,1.1,16,0,2000,449,528.6960862017371,2.3940647
6,20,1.1,16,0,2000,386,527.7656982223232,2.3277898
6,20,1.1,16,0,2000,447,546.2691963839966,3.036614
6,20,1.1,16,0,2000,468,545.4960004676045,3.9941666
6,20,1.1,16,0,2000,434,541.8716236449773,2.7821698
6,20,1.1,16,0,2000,436,536.5531854219753,3.6283343
6,20,1.1,16,0,2000,429,548.9374861251029,3.541825
6,20,1.1,16,0,2000,416,555.9448771791624,3.4307299
6,20,1.1,16,0,2000,406,566.0224287249864,3.5819256
6,20,1.1,16,0,2000,403,553.3738403149111,2.009978
6,20,1.1,16,0,2000,396,566.2292700249295,2.3013892
6,20,1.1,16,0,2000,355,565.5391763460302,2.8027499
6,20,1.1,16,0,2000,379,561.7627951654684,3.8327363
6,20,1.1,16,0,2000,398,572.1390313519171,5.1265483
6,20,1.1,16,0,2000,384,563.9017970855153,3.748649
6,20,1.1,16,0,2000,406,576.956777688394,2.6792827
6,20,1.1,16,0,2000,420,587.5076974490164,1.8142382
6,20,1.1,16,0,2000,407,597.6372530272336,2.4443712
6,20,1.1,16,0,2000,389,600.8262436000285,4.0752807
6,20,1.1,16,0,2000,411,598.3433353606014,3.582981
6,20,1.1,16,0,2000,371,611.3059764822234,3.701849
6,20,1.1,16,0,2000,430,602.2127389827708,1.8962348
6,20,1.1,16,0,2000,418,600.856263539422,2.7051778
6,20,1.1,16,0,2000,404,591.6333863401845,2.2260623
6,20,1.1,16,0,2000,425,589.8705656759544,2.591273
6,20,1.1,16,0,2000,419,594.8133818210439,3.5664659
6,20,1.1,16,0,2000,427,592.7001748792786,2.35117
6,20,1.1,16,0,2000,442,582.8786996137806,2.4052444
6,20,1.1,16,0,2000,417,583.3701400660584,2.6203187
6,20,1.1,16,0,2000,413,606.1742516259615,3.7697341
6,20,1.1,16,0,2000,444,608.0239487387521,3.0859487
6,20,1.1,16,0,2000,402,600.0359405179466,2.0729277
6,20,1.1,16,0,2000,388,606.3431637184945,1.8278224
6,20,1.1,16,0,2000,429,613.5422878782057,2.1660318
6,20,1.1,16,0,2000,394,625.2444901641383,3.8806415
6,20,1.1,16,0,2000,440,613.2144890085485,1.846962
6,20,1.1,16,0,2000,424,616.2405664139184,2.321503
6,20,1.1,16,0,2000,457,629.6223800664396,1.9705642
6,20,1.1,16,0,2000,431,635.3344171275899,2.5906048
