patchsize,fasttresh,scalefactor,n_levels,track_error,features,total_matches,good_matches,blur,flow
31,14,1.2,8,0,1695,1695,142,252.8557378733563,21.87621
31,14,1.2,8,0,1658,1658,206,282.9116115405857,19.261463
31,14,1.2,8,0,1614,1614,260,259.7525838167746,12.099677
31,14,1.2,8,0,1713,1713,293,311.3507515674497,12.517511
31,14,1.2,8,0,1669,1669,228,272.72311339587645,19.794344
31,14,1.2,8,0,1707,1707,269,309.4400220601626,12.771465
31,14,1.2,8,0,1667,1667,220,277.6434017326005,18.977922
31,14,1.2,8,0,1655,1655,266,257.57971132593354,13.093598
31,14,1.2,8,0,1657,1657,233,289.4305527123213,17.995829
31,14,1.2,8,0,1762,1762,231,328.2012471313867,17.39185
31,14,1.2,8,0,1732,1732,239,311.15695409914514,15.672662
31,14,1.2,8,0,1715,1715,302,268.01110250309773,8.67787
31,14,1.2,8,0,1685,1685,203,273.0024924661293,16.773548
31,14,1.2,8,0,1718,1718,291,257.1120689393037,9.025266
31,14,1.2,8,0,1718,1718,266,277.7230614656453,9.508162
31,14,1.2,8,0,1613,1613,194,226.9114427073944,17.979166
31,14,1.2,8,0,1582,1582,250,193.41812410800821,9.769784
31,14,1.2,8,0,1573,1573,215,203.02822814057615,17.028519
31,14,1.2,8,0,1557,1557,254,191.1861295933193,12.407072
31,14,1.2,8,0,1526,1526,223,216.01052563071585,16.667208
31,14,1.2,8,0,1545,1545,197,182.7498089551974,21.394594
31,14,1.2,8,0,1558,1558,285,194.51680165786004,10.118847
31,14,1.2,8,0,1582,1582,231,183.99101013332458,15.991796
31,14,1.2,8,0,1627,1627,348,220.6276942840236,7.3128247
31,14,1.2,8,0,1620,1620,241,190.15803095445713,14.348189
31,14,1.2,8,0,1583,1583,308,203.85806125582099,6.570754
31,14,1.2,8,0,1592,1592,292,191.61088061002522,9.727809
31,14,1.2,8,0,1609,1609,278,227.67115985095975,8.876882
31,14,1.2,8,0,1616,1616,345,195.40106787584142,6.914332
31,14,1.2,8,0,1585,1585,266,213.11039959696419,16.307705
31,14,1.2,8,0,1614,1614,277,205.34373012339296,10.679465
31,14,1.2,8,0,1609,1609,200,237.92930668840205,15.050005
31,14,1.2,8,0,1519,1519,292,196.50436531425015,7.472351
31,14,1.2,8,0,1520,1520,298,211.4267099922327,6.049184
31,14,1.2,8,0,1510,1510,303,189.67665456619912,6.781844
31,14,1.2,8,0,1541,1541,324,223.57381601151994,6.3184643
31,14,1.2,8,0,1555,1555,351,195.78265266182996,6.198259
31,14,1.2,8,0,1519,1519,363,211.3751456888251,4.8160276
31,14,1.2,8,0,1530,1530,298,202.75875584970663,6.2152123
31,14,1.2,8,0,1521,1521,369,237.11795260371073,3.746996
31,14,1.2,8,0,1563,1563,304,217.27460689648467,3.4527056
31,14,1.2,8,0,1375,1375,273,181.239834388092,3.2551978
31,14,1.2,8,0,1394,1394,283,169.18205098863766,3.8628805
31,14,1.2,8,0,1438,1438,349,197.2808857271721,1.868689
31,14,1.2,8,0,1419,1419,300,173.46044833268763,2.5162902
31,14,1.2,8,0,1433,1433,272,185.14754439728966,3.2413604
31,14,1.2,8,0,1456,1456,255,177.41730569236722,3.8789809
31,14,1.2,8,0,1512,1512,293,208.70336231157486,2.4393396
