patchsize,fasttresh,scalefactor,n_levels,track_error,total_matches,good_matches,blur,flow
48,5,1.1,16,0,2000,920,653.8994035893496,1.1279944
48,5,1.1,16,0,2000,980,657.1350892978014,1.0322709
48,5,1.1,16,0,2000,945,654.9830913688568,1.1113201
48,5,1.1,16,0,2000,907,655.0357028302776,1.0417901
48,5,1.1,16,0,2000,932,656.3364251917975,1.0687982
48,5,1.1,16,0,2000,1008,657.9615914284414,0.9507202
48,5,1.1,16,0,2000,967,659.8332996373512,0.940242
48,5,1.1,16,0,2000,918,657.9090776754301,0.9958051
48,5,1.1,16,0,2000,867,662.8548965730788,1.0818223
48,5,1.1,16,0,2000,995,661.5676500886376,0.8368802
48,5,1.1,16,0,2000,977,660.0067930638024,0.8761379
48,5,1.1,16,0,2000,1024,660.1826807530931,0.86780834
48,5,1.1,16,0,2000,925,660.9992645829784,1.0563518
48,5,1.1,16,0,2000,960,660.3942090453381,1.0321786
48,5,1.1,16,0,2000,991,661.9923623101091,1.0045953
48,5,1.1,16,0,2000,967,660.0100556245375,0.9996606
48,5,1.1,16,0,2000,954,661.5682503420915,0.991433
48,5,1.1,16,0,2000,922,659.5065139960391,1.0958561
48,5,1.1,16,0,2000,928,660.60906547031,0.9761711
48,5,1.1,16,0,2000,847,661.3103848415344,1.1043009
48,5,1.1,16,0,2000,1024,664.8095566648905,0.8057154
48,5,1.1,16,0,2000,1001,664.3282811665492,0.86129385
48,5,1.1,16,0,2000,1029,665.7987881392746,0.8360041
48,5,1.1,16,0,2000,909,667.0964733125966,1.0298475
48,5,1.1,16,0,2000,1010,664.990917433944,0.9104071
48,5,1.1,16,0,2000,949,661.6835937638074,1.0735475
48,5,1.1,16,0,2000,981,662.8740114198201,0.9089217
48,5,1.1,16,0,2000,921,661.5863083564677,1.0385406
48,5,1.1,16,0,2000,973,664.046312999358,0.95304155
48,5,1.1,16,0,2000,864,661.8166241337804,1.214566
48,5,1.1,16,0,2000,939,661.8825225791395,0.9794753
48,5,1.1,16,0,2000,974,663.6675945982523,0.8815911
48,5,1.1,16,0,2000,1050,663.2982219433826,0.8449262
48,5,1.1,16,0,2000,979,661.4061670140998,0.96532816
48,5,1.1,16,0,2000,908,663.8382485535027,1.1739486
48,5,1.1,16,0,2000,888,666.245511801375,1.1261326
